UMAP_1	UMAP_2	cell_type
CELL3145_N1_1	3.88134509306439	3.61646763851896	type8
CELL481_N2_1	-1.84982270020953	-0.933398501369807	type0
CELL3690_N1_1	2.06930178385266	0.0588343577648676	type2
CELL3629_N1_1	-2.65638393182269	-1.06954343745455	type4
CELL33_N2_1	0.625408410840121	2.59070126583829	type2
CELL1005_N1_1	4.03617292624005	2.22887770703092	type8
CELL1204_N1_1	-4.41718834657184	-4.48506768176303	type1
CELL1256_N1_1	-5.62879532594195	-0.69530876109347	type6
CELL200_N2_1	-1.16293042916766	2.0902425484921	type0
CELL829_N1_1	-3.64885061997882	-3.99331505725131	type1
CELL667_N1_1	1.49973458033094	-0.248193190786692	type2
CELL1130_N1_1	-1.03835159558764	-2.57024724910006	type1
CELL258_N2_1	-0.259189427084836	1.77047614624753	type0
CELL3863_N1_1	-0.581645965762052	-0.0629849744771445	type2
CELL2407_N1_1	10.6357181666423	-0.580925063583704	type9
CELL1024_N1_1	-2.40577071923724	-5.09784062335238	type3
CELL3075_N1_1	5.15130358915814	-6.84637291857943	type11
CELL597_N1_1	-1.78371995706073	-6.07730706164584	type3
CELL361_N2_1	12.0737875102092	0.153992040660528	type9
CELL135_N2_1	11.8161514399577	0.152232511546758	type9
CELL3063_N1_1	4.80119448881635	2.99231736233487	type8
CELL826_N1_1	-7.04628866929522	-1.41052563616976	type6
CELL2413_N1_1	2.42864471655377	0.68945036700025	type2
CELL3105_N1_1	0.362595188711223	-1.69562526175723	type5
CELL175_N2_1	0.401758659445134	10.4850041108395	type13
CELL654_N1_1	-6.62839382905475	-1.40426023432955	type6
CELL1037_N1_1	-4.31748408097735	-4.19551785418734	type1
CELL490_N2_1	-2.19740670938006	-6.02203877398715	type3
CELL169_N2_1	-1.31066864747516	2.95842544605985	type0
CELL2966_N1_1	-5.22992914933673	-0.621617929432245	type6
CELL2740_N1_1	-0.95669561643115	1.52192966511503	type0
CELL1961_N1_1	-3.51043266076556	-2.95866520831332	type1
CELL196_N2_1	-5.69963949937335	6.00849406292692	type12
CELL63_N2_1	11.0037134287883	-2.71289833018527	type7
CELL1766_N1_1	-5.550818145461	6.54786221554532	type12
CELL2541_N1_1	10.6305883524943	-2.87669880816683	type7
CELL507_N1_1	-3.48827379960528	-3.07577736804232	type1
CELL1227_N1_1	-2.66316670197955	-3.29086597392306	type1
CELL2751_N1_1	-1.70616525430194	2.94135109951749	type0
CELL524_N1_1	-1.96827930230609	-6.07708771655306	type3
CELL36_N2_1	-5.96334522981158	6.38739649822965	type12
CELL3122_N1_1	-0.0475672485303012	0.405629678275732	type5
CELL1300_N1_1	-1.55382055062762	-0.277027742359492	type5
CELL3115_N1_1	-1.64811033029071	1.49525968601957	type0
CELL1598_N1_1	-1.49228233117572	2.05968753865018	type0
CELL3425_N1_1	12.0839193461467	0.0812540637518442	type9
CELL982_N1_1	-1.46751219052783	-5.36400397250399	type3
CELL645_N1_1	-4.49303835649005	-4.95706303546176	type1
CELL733_N1_1	-2.62658256310931	-3.68209989497409	type1
CELL237_N3_1	-1.66305798310748	-6.25932295748934	type3
CELL1995_N1_1	-1.95133179444781	-1.71593971678958	type10
CELL1471_N1_1	-4.49151915330401	-4.21516449877963	type1
CELL1243_N1_1	-2.06185072679034	1.54152183106199	type0
CELL905_N1_1	-2.47410625237933	0.334297193792013	type4
CELL1563_N1_1	-2.63872212190143	-1.71944220492587	type1
CELL1116_N1_1	-1.5711593033742	2.98815767338529	type0
CELL2586_N1_1	-4.49989575166217	-4.65686781832919	type1
